LAT;;;;;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667
LON;;;;;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667
ASL;;;;;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000
CITY;;;;;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;10 m above gnd;10 m above gnd;sfc
NAME;;;;;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Total cloud cover;High cloud cover;Medium cloud cover;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;%;%;%;%;W/m2;m/s;°;m/s
AGGREGATION;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;0;0;0;0;0;0;0;0;0;0;0;0

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Total cloud cover  [sfc];High cloud cover  [high cld lay];Medium cloud cover  [mid cld lay];Low cloud cover  [low cld lay];Shortwave Radiation - backwards  [sfc];Wind speed  [10 m above gnd];Wind direction  [10 m above gnd];Wind Gust  [sfc]
2017;07;11;08;00;21.92;76.00;1012.40;0.30;64.00;13.00;64.00;3.00;332.86;1.00;36.87;0.90
2017;07;11;09;00;24.02;65.00;1012.00;0.30;100.00;100.00;100.00;39.00;600.75;0.85;20.56;1.90
2017;07;11;10;00;25.25;61.00;1011.30;0.60;100.00;0.00;100.00;2.00;526.88;0.78;50.19;2.60
2017;07;11;11;00;23.83;65.00;1011.30;1.10;74.00;0.00;74.00;74.00;413.85;1.81;6.34;4.30
2017;07;11;12;00;27.48;55.00;1014.00;0.80;49.00;0.00;49.00;0.00;768.96;1.61;7.13;5.00
2017;07;11;13;00;26.41;58.00;1013.90;0.20;42.00;42.00;42.00;42.00;660.38;1.57;26.57;6.50
2017;07;11;14;00;27.56;56.00;1013.80;0.30;0.00;0.00;0.00;0.00;760.95;2.36;53.62;6.40
2017;07;11;15;00;26.29;60.00;1012.90;0.40;11.00;0.00;11.00;10.00;494.84;1.20;41.63;5.60
2017;07;11;16;00;27.72;53.00;1013.10;0.10;27.00;0.00;27.00;10.00;422.75;0.85;69.44;3.80
2017;07;11;17;00;27.09;55.00;1013.50;0.00;0.00;0.00;0.00;0.00;388.93;1.91;83.99;4.00
2017;07;11;18;00;25.99;59.00;1013.10;0.00;0.00;0.00;0.00;0.00;264.33;1.17;70.02;0.90
2017;07;11;19;00;24.31;65.00;1012.70;0.00;0.00;0.00;0.00;0.00;107.69;1.32;81.25;0.90
2017;07;11;20;00;23.24;65.00;1014.00;0.00;4.00;0.00;4.00;0.00;4.45;1.36;126.03;0.70
2017;07;11;21;00;22.57;62.00;1014.80;0.00;0.00;0.00;0.00;0.00;0.00;1.25;118.61;0.70
2017;07;11;22;00;21.91;59.00;1014.90;0.00;0.00;0.00;0.00;0.00;0.00;1.12;100.30;0.80
2017;07;11;23;00;21.43;59.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;1.21;114.44;1.60
2017;07;12;00;00;20.94;59.00;1015.30;0.00;0.00;0.00;0.00;0.00;0.00;1.22;124.99;1.50
2017;07;12;01;00;20.40;59.00;1015.70;0.00;0.00;0.00;0.00;0.00;0.00;1.14;127.87;1.40
2017;07;12;02;00;19.83;59.00;1015.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;126.87;1.10
2017;07;12;03;00;19.12;60.00;1015.20;0.00;0.00;0.00;0.00;0.00;0.00;0.64;128.66;0.80
2017;07;12;04;00;18.29;62.00;1015.40;0.00;0.00;0.00;0.00;0.00;0.00;0.22;153.43;0.20
2017;07;12;05;00;20.04;58.00;1016.00;0.00;0.00;0.00;0.00;0.00;45.39;0.14;135.00;0.40
2017;07;12;06;00;21.07;61.00;1015.20;0.00;1.00;0.00;0.00;1.00;195.80;0.28;45.00;1.30
2017;07;12;07;00;22.73;60.00;1015.10;0.00;2.00;0.00;0.00;2.00;363.12;0.51;11.31;0.40
